date,recipient,message,sender
"June 9, 1863",Halleck,"Brigadier-General Pleasonton reports that, after a severe encounter with the rebel cavalry over the Beverly Ford, he has not been able to make head against it. He reports that his movement was anticipated.",Hooker
"June 9, 1863",Dix,"We have reliable information that Pickett’s division, which was lately at Taylorsville, near Hanover Junction, has come up this way and gone toward the Rapidan. Hood’s division preceded it in the same direction. We have also reason to believe that the available troops have been withdrawn from Richmond this way, leaving it nearly if not wholly unoccupied.
The country between Fredericksburg and Richmond and below the right flank of Lee’s army, which extends only 5 miles below the city, is open and unoccupied, excepting by small bodies and a force which has just gone down on account of a false alarm made by us in that direction. The Thirtieth Virginia alone is left near Hanover Junction. It is a weak regiment.
Our scouts penetrate to Hanover Junction, and we believe the above reliable from previously reported information confirming it, and the character of the scouts. The movements in your direction have been countermanded, probably by my demonstrations.",Hooker
"June 10, 1863",Lincoln,"Mr. President: General Pleasonton, by telegram forwarded to the major-general commanding the army this morning, reports that he had an affair with the rebel cavalry yesterday near Brandy Station, which resulted in crippling him so much'that he will have to abandon his contemplated raid into Maryland, which was to have started this morning.
I am not so certain that the raid will be abandoned from this cause. It may delay the departure a few iays. I shall leave the cavalry, which is all that I have mounted, where they are, near Bealeton, with instructions to resist the passage of the river by the enemy’s forces. If to effect this he should bring up a considerable force of infantry, that will so much weaken him in my front that I have good reason to believe that I can throw a sufficient force over the river to compel the enemy to abandon his present position. If it should be the intention to send a heavy column of infantry to accompany the cavalry on the proposed raid, he can leave nothing behind to interpose any serious obstacle to my rapid advance on Richmond. I am not satisfied of his intention in this respect, but from certain movements in their corps I cannot regard it as altogether improbable. If it should be found to be the case, will it not promote the true interest of the cause for me to march to Richmond at once? From there all the disposable part of this army can be thrown to any threatened point north of the Potomac at short notice, and, until they can reach their destination, a sufficiency of troops can be collected to check, if not to stop, his invasion. If left to operate from my own judgment, with my present information, I do not hesitate to say that I should adopt this course as being the most speedy and certain mode of giving the rebellion a mortal blow. I desire that you will give it your reflection. At present the enemy has one corps of infantry at Gordonsville, with the advance at Culpeper, with the manifest tendency of other corps to drift in that direction. I now have two bridges across the Rappahannock, ready to spring over the river below Fredericksburg, and it is this, I believe, that causes the enemy to hesitate in moving forward.
Major General Dix informs me that he intends moving two columns up James River tomorrow; but if organized to correspond in numbers to the troops as they have of late been posted, neither column will be successful. The one on the north side of the river will be too small, and on the south side, with his whole column, I question if Richmond can be taken at all, provided 2,000 or 3,000 men could be assembled to defend it. The columns should unite at City Point, or below, and move on the north bank of that river.
From information, which I deem reliable, the only troops remaining in Richmond is the provost-guard, 1,500, and all the troops between here and there are brought well to the front.
It would be of incalculable service to this army to be transferred to some more remote point from Washington and Alexandria. The stampedes in those towns, gotten up, no doubt, by people in the rebel interest, have their influence on my men, for many of them have no means of knowing whether they are with or without cause. They think there must be some fire where there is so much smoke.",Hooker
"June 10, 1863",Hooker,"Your long dispatch of today is just received. If left to me, I would not go south of Rappahannock upon Lee’s moving north of it. If you had Richmond invested today, you would not be able to take it in twenty days; meanwhile your communications, and with them your army, would be ruined. I think Lee’s army, and not Richmond, is your sure objective point. If he comes toward the Upper Potomac, follow on his flank and on his inside track, shortening your lines while he lengthens his. Fight him, too, when opportunity offers. If he stays where he is, fret him and fret him.",Lincoln
"June 11, 1863",Hooker,"The President has just referred to me your telegram and his reply of yesterday, with directions to say to you whether or not I agree with him. I do so fully.",Halleck
"June 11, 1863",Halleck,"I have just been reliably informed that Pettigrew’s and Darnell’s [Davis’] brigades from North Carolina are in Heth’s division, near Hamilton’s Crossing. I have no information concerning the residue of the forces drawn from North Carolina.
AP Hill’s corps is on the right, opposite to Franklin’s Crossing; Ewell’s is in rear of Fredericksburg, and Longstreet’s corps and the cavalry are at Culpeper.
I have today dispatched the Third Corps to picket the river from Meade’s right, at Kelly’s Ford, to Beverly Ford, in order to relieve the cavalry in aid of Pleasonton, who is looking after the district of country from Beverly to Sulphur Springs. Pleasonton is weak in cavalry compared with the enemy.",Hooker
"June 12, 1863",Halleck,It is reported to me from the balloon that several new rebel camps have made their appearance this morning. There can be no doubt but that the enemy has been greatly reinforced.,Hooker
"June 12, 1863",Halleck,"General Pleasonton, without additional cavalry, I fear will not be able to prevent the rebel cavalry from turning his right. I have not been able to ascertain his precise strength, but know that it is near 7,500, while that of the enemy is certainly not less than 10,000. He now pickets beyond Sulphur Springs. He will, however, do the best he can. If he should be turned, you will perceive that I shall be constrained to abandon the Aquia Creek line of operations.",Hooker
"June 12, 1863",Halleck,"Learning that the enemy had massed his cavalry near Culpeper for the purpose of a raid, I dispatched General Pleasonton to attack him on his own ground. General Pleasonton crossed the Rappahannock on the 9th, at Beverly and Kelly’s Fords, attacked the enemy, and drove him 3 miles, capturing over 200 prisoners and one battle-flag. This, in the face of vastly superior numbers, was only accomplished by hard and desperate fighting by our cavalry, for which they deserve much credit. Their morale is splendid. They made many hand-to-hand combats, always driving tne enemy before them.",Hooker
"June 12, 1863",Hooker,There is no possibility of sending you more cavalry. Horses will be sent as fast as they can be procured.,Halleck
"June 12, 1863",Hooker,"If you can show me a trial of the incendiary shells on Saturday night, I will try to join you at 5 p.m. that day. Answer.",Lincoln
"June 12, 1863",Lincoln,"If I am not very much mistaken, I shall be constrained to move my army on to the Orange and Alexandria Railroad before that time. I have three corps near there at this time.
I presume that General Halleck showed you my dispatch of this morning; also please see copy of my dispatch to General Dix of today",Hooker
"June 12, 1863",Lincoln,"At the time of my reply to your telegram of to-day, I supposed that this was Thursday and not Friday. It will give me great pleasure to have the gun on exhibition at 5 p.m. tomorrow. I have some good targets in the shape of rebel camps which the gun will enfilade.",Hooker
"June 13, 1863",Hooker,"I was coming down this afternoon, but if you prefer I should not, I shall blame you if you do not tell me so.",Lincoln
"June 13, 1863",Lincoln,It may be well not to come.,Hooker
"June 13, 1863",Halleck,"All my sources of information confirm the statement that Long-street’s and Ewell’s corps have passed through Cnlpeper and Sperry-ville, toward the Valley. The instructions of the President, approved by yourself, and your original letter of instructions, compel me, in view of 'this movement of the enemy, to transfer the operations of this army from the line of the Aquia to the Orange and Alexandria Railroad. Accordingly, directions have been given for the First, Third, Fifth, and Eleventh Corps to rendezvous at Manassas Junction with the cavalry. The Second, Sixth, and Twelfth, with the Reserve Artillery, after covering the withdrawal of Government property from depots, have been directed to march to Dumfries, and from thence to be governed by the movements of the enemy, the object being to bring the two wings together as far in advance on that line as the movements of the enemy will justify.
The corps will be withdrawn from their positions on the river tonight, the line being held by pickets until the proper time arrives for their withdrawal. tomorrow p.m. my headquarters will be at Dumfries.",Hooker
"June 14, 1863",Hooker,"Do you consider it possible that 15,000 of Ewell’s men can now be at Winchester?",Lincoln
"June 14, 1863",Halleck,"At 3 -p.m. Major-General Hancock informs me that the rebel troops opposite Franklin’s Crossing are moving up the river, on the Plank road, in a continuous column. Major-General Hancock covers the withdrawal of the forces and property at that point. No effort has been made to force the passage of the Rappahannock, excepting at Banks’ Ford.",Hooker
"June 14, 1863",Stanton,"Have received dispatch from General Milroy, dated yesterday. Will act on it as soon as I can hear from the column on the Orange and Alexandria Railroad. Instructions were given for Thoroughfare Gap to be taken possession of and held by my cavalry last night. If the enemy should be making for Maryland, I will make the best dispositions in my power to come up with him.
You may rely upon his being in great force wherever he is.",Hooker
"June 14, 1863",Hooker,"So far as we can make out here, the enemy have Milroy surrounded at Winchester and Tyler at Martinsburg. If they could hold out a few days, could you help them ? If the head of Lee’s army is at Martinsburg and the tail of it on the Plank road between Fredericksburg and Chancellorsville, the animal must be very slim somewhere. Could you not break him?",Lincoln
"June 14, 1863",Lincoln,"Mr. President : I have reason to believe that Longstreet’s and the greater part of Ewell’s corps marched from Culpeper, on the Sperryville road, on Sunday last [7th], and that a column, which occupied four hours in passing, followed on Thursday. If this was the case, the head of the column has had time to reach Winchester, and if it is a movement for invasion, it is a fair presumption to conclude that the bulk of his cavalry is with him. The enemy has in this column not less than between 70,000 and 80,000 men. AP Hill’s corps, of about 30,000, is still on the south side of the Rappahannock, and General Hancock has just informed me that present appearances indicate that he intends to force the passage of the river in the morning. His troops have all been halted at and below Banks’ Ford. My trains are all this side of Stafford Court-House, and the public property, I am informed, will be removed from Aquia tomorrow—the sick tonight.
The First Corps is at Kettle Run; the Second on the Rappahannock; the Third and Fifth at Catlett’s Station ; the Sixth at Potomac Creek; the Eleventh at Centreville; and the Twelfth at Dumfries tonight.
The Second will probably withdraw, the First march to Manassas, and the Sixth to Stafford Court-House during the night.",Hooker
"June 14, 1863",Lincoln,"Has anything further been heard from Winchester ? Will the President allow me to inquire if it is his opinion that Winchester is surrounded by the rebel forces ? I make this inquiry for the reason that General [I. R.] Trimble was recently assigned, in orders, to the command of that district, and it is not known what command he had, unless his old one, which had Louisiana regiments in it, and it was in Jackson’s, now Ewell’s, corps. I do not feel like making a move for an enemy until I am satisfied as to his whereabouts. To proceed to Winchester and have him make his appearance elsewhere, would subject me to ridicule. With this feeling, unless otherwise directed, I feel it my duty to proceed to execute the movement indicated on yesterday. I will not, however, issue my order of march until the last moment, in the hope that further information may be received.",Hooker
"June 14, 1863",Hooker,"Yours of 11.30 [11.15] just received. You have nearly all the elements for forming an opinion whether Winchester is surrounded that I have. I really fear, almost believe, it is. No communication has been had with it during the day, either at Martinsburg or Harper’s Perry. At 7 p.m. we also lost communication with Martinsburg. The enemy had also appeared there some hours before. At 9 p.m. Harper’s Ferry said the enemy was reported at Berryville and Smithfield. If I could know that Longstreet and Ewell moved in that direction so long ago as you stated in your last, then I should feel sure that Winchester is strongly invested. It is quite certain that a considerable force of the enemy is thereabout, and I fear i;t is an overwhelming one compared with Milroy’s. I am unable to give you any more certain opinions.",Lincoln
"June 14, 1863",Hooker,"No doubt is entertained here that Milroy is surrounded at Winchester, and so closely invested that no scout or other information has been had from him later than 11 o’clock Saturday night. Tyler was also surrounded to-day at Martinsburg. Jenkins was there, and demanded the surrender of the place. Heavy firing was heard in that vicinity until 7 o’clock, and then ceased. The telegraphic communication was broken at the same time, and nothing is known here of the result. The report here is that Ewell’s force is at Winchester; this comes from Milroy by the last dispatch sent by him, Saturday night, to General Schenck. Your dispatch has been sent to the President, who will probably reply soon.",Stanton
"June 15, 1863",Halleck,"The First, Third, Sixth,-and Eleventh Corps, with the cavalry, will be assembled at Manassas and Centreville tonight. They have instructions to replenish, their forage and rations, which I trust they will he able to do to-day. The Second Corps will be at Dumfries, the Sixth at Wolf Run Shoals, and the Twelfth at Fairfax Court-House tonight.
Major-General Hancock reports that the rebel forces about Fredericksburg have moved in the direction of Culpeper this morning.
tonight my headquarters will be at Fairfax Station. If your information from the Upper Potomac should be of a character to justify a movement in that direction, I request that I may be informed of it at the earliest practicable moment.",Hooker
"June 15, 1863",Halleck,"Two of our best scouts returned from the interior, above Fredericksburg, yesterday (Sunday) morning. They report AP Hill, with sixty guns and 20,000 men, left on the heights about Fredericksburg. On Saturday p.m. 4,000 of this force moved toward Culpeper. On the same day, General Lee’s headquarters were on the-Lacy farm, between Brandy Station and Culpeper Court-House. Citizens say that the cavalry expedition was intended for Alexandria, while Lee was to go up the Valley. They believe that a great cavalry raid is now given up, as the cavalry is divided, a considerable part being still near Brandy Station. The passage of the infantry is traced across the Hazel River.
The Richmond papers of the 13th blame Stuart much for allowing himself to be surprised in his camp by Pleasonton, and call upon him to do something to retrieve his reputation. Anxiety expressed concerning the movements on the Peninsula. Will send the papers to you.",Hooker
"June 15, 1863",Hooker,No information of enemy in direction of Winchester and Harper’s Ferry as late as that from General Pleasonton. The forces at Martinsburg are arriving at Harper’s Ferry.,Halleck
"June 15, 1863",Hooker,"Garrison of Martinsburg has arrived at Harper’s Ferry. Milroy did not obey orders given on the 11th to abandon Winchester, and probably has or will be captured. Harper’s Ferry ought to hold out some time. Pleasonton’s telegrams to you contain all the information we have of the enemy’s movements. They are very contradictory. Your army is entirely free to operate as you desire against Lee’s army, so long as you keep his main army from Washington. It is believed that Longstreet and Stuart are crossing the Potomac above and below Harper’s Ferry. They certainly should be pursued. The force used for that purpose must depend upon your information of the movements or position of the remainder of Lee’s army. Leesburg seems about the best point to move on first. The information sent^ here by General Pleasonton is very unsatisfactory. His suggestions to send batteries from here to the mouth of the Monocacy cannot be adopted. * If we had them to send, they would only be lost.",Halleck
"June 15, 1863",Hooker,General Meigs is apprehensive that you have not allowed time enough to withdraw material from Aquia Creek. Please prevent such wanton and wasteful destruction of public property as took place when Burnside withdrew from there last year.,Halleck
"June 15, 1863",Lincoln,"Only two Louisiana brigades in rebel army here. [H. T.] Hays’ brigade, in Early’s division, has the Fifth, Sixth, Seventh, Eighth, and Ninth Louisiana. Prisoners from them would indicate the presence of Ewell’s whole corps. [F. T.] Nicholls’ brigade, in Trimble’s division, has the First, Second, Tenth, Fourteenth, and Fifteenth Louisiana. Prisoners from them would not indicate as above, as Trimble has lately been appointed to command the Valley District. Jenkins and Imboden have been in the Valley some time, and their forces are inconsiderable. Trimble’s division is under 8,000.",Hooker
"June 15, 1863",Halleck,"I have left a brigade at Aquia, and ordered them to hold it until further orders. I apprehend no danger there.",Hooker
"June 15, 1863",Hooker,"The facts are now known here that Winchester and Martinsburg were both besieged yesterday. The troops from Martinsburg have got into Harper’s Ferry without loss. Those from Winchester are also in, having lost in killed, wounded, and missing about one-third of their number. Of course, the enemy holds both places, and I think the report is authentic that he is crossing the Potomac at Williamsport. We have not heard of his yet appearing at Harper’s Ferry or on the river anywhere below. I would like to hear from you.",Lincoln
"June 15, 1863",Lincoln,"Your telegram of 8.30 p.m. received. It seems to disclose the intentions of the enemy to make an invasion, and, if so, it is not in my power to prevent it. I can, however, make an effort to check him until he has concentrated all his forces. I may possibly be able to prevent the junction, and commence the movement during tomorrow. On so short reflection, l am not prepared to say this is the wisest move, nor do I know that my opinion on this subject is wanted. AP Hill moved up toward Culpeper this morning, indicating his intention to reinforce their forces on the Upper Potomac.",Hooker
"June 15, 1863",Lincoln,"Your dispatch, 8.30, received. My dispatch to General Halleck this morning shows my position tonight With regard to the enemy, your dispatch is more conclusive than any I have received. I now feel that invasion is his settled purpose. If so, he has more to accomplish, but with more hazard, by striking an easterly direction after crossing than a northerly one. It seems to me that he will be more likely to go north, and to incline to the west. He can have no design to look after his rear. It is an act of desperation on his part, no matter in what force he moves. It will kill copperheadism in the North. I do not know that my opinion as to the duty of this army in the case is wanted; if it should be, you know that I will be happy to give it. I have heard nothing of the movements of the enemy to-day, excepting that he has not attempted to follow me across the Rappahannock. I have only heard that all of AP Hill’s forces moved up the river this morning, in the direction of Culpeper. If it should be determined for me to make a movement in pursuit, which I am not prepared to recommend at this time, I may possibly be able to move some corps tomorrow, and can reach the point of the enemy’s crossing in advance of AP Hill. If I should move at once, he would probably wait until his forces are concentrated. If they are moving toward Maryland, I can better fight them there than make a running fight. If they come up in front of Washington, I can threaten and cut their communications, and Dix can be reinforced from the south to act on their rear. I could not sit still and have them turn my right. My sources of information could not successfully cover such an extent of country as their movements indicate. I add these as suggestions for your consideration.",Hooker
"June 15, 1863",Lincoln,"I have received your dispatch of this evening. The Army of the Potomac is in this vicinity, excepting the Second and Sixth Corps, and, as they are marching in rear of all the trains, they will not be up before some time tomorrow.
Perhaps the Second Corps will not be here until some time during tomorrow night. The First and Eleventh Corps were first to arrive on this line, but I have not yet learned whether they have drawn their supplies in readiness to march tomorrow morning or not. As soon as they are provided, they, as well as the others, will be put en route.
I have been informed that the enemy nowhere crossed the Rappahannock on our withdrawal from it, but General Hill’s troops moved up the river in the direction of Culpeper this morning, for the purpose, I conclude, of re-enforcing Longstreet and Ewell, wherever they may be.
I request that I may be informed what troops there are at Harper’s Ferry, and who is in command of them, and also who is in command in this district.",Hooker
"June 16, 1863",Lincoln,"It appears to me from General Couch’s dispatch of last night,* received this a. m., that nearly all the cavalry of the Army of the Potomac should at once be sent into Maryland by the most direct route. General Stahel has an abundance to perform all cavalry duty that will be required south of the Potomac. I merely make the suggestion. If any considerable body of enemy’s infantry should be thrown across the Potomac, they will probably take the direction of his advance pickets, and in that event it seems to me that a heavy column of ours should be thrown as speedily as possible across the river at Harper’s Ferry, while another should be thrown over the most direct line covering Baltimore and Philadelphia. I only speak with reference to this army, as I know nothing of the location or numbers of troops at the disposal of the Government elsewhere.",Hooker
"June 16, 1863",Lincoln,"Please accept my suggestions in regard to what should be done in the spirit with which they were given. They were suggestions merely, for I have not the data necessary to form an enlightened opinion on the case. Upon general principles, I thought those were the movements to make.
You have long been aware, Mr. President, that I have not enjoyed the confidence of the major-general commanding the army, and I can assure you so long as this continues we may look in vain for success, especially as future operations will require our relations to be more dependent upon each other than heretofore.
It'may be possible now to move to prevent a junction of AP Hill’s corps with those of Ewell and Longstreet. If so, please let instructions to that effect be given me. As will appear to you, the chances for my doing this are much smaller than when I was on the Rappahannock, for, if he should hold the passes stoutly, he can cause me delay. You may depend upon it, we can never discover the whereabouts of the enemy, or divine his intentions, so long as he fills the country with a cloud of cavalry. We must break through that to find him.",Hooker
"June 16, 1863",Hooker,"I do not think there is reliable information that the enemy has crossed the Potomac in any force. Where his main corps are, is still uncertain, and I know of no way to ascertain, excepting through your cavalry, which should be kept near enough to the enemy to at least be able to tell where he is. My suggestion of yesterday, to follow the enemy’s advance, by moving a considerable force first to Leesburg, and thence as circumstances may require, is the best one I can make. Unless your army is kept near enough to the enemy to ascertain his movements, yours must be in the dark or on mere conjecture. Tyler is in command at Harper’s Ferry, with, it is said, only 9,000 men, but, according to returns of the 11th, he should have at least 13,600. Heintzelman, as you must be aware, commands this department. Besides the divisions of Abercrombie and Stahel, near you, he has little or no movable troops. Telegraph direct to him in all matters connected with the use of his troops.",Halleck
"June 16, 1863",Hooker,"There is now no doubt that the enemy is surrounding Harper’s Ferry, but in what force I have no information. General Schenck says our force there is much less than before reported, and cannot hold out very long. He wished to know whether he may expect relief. He can hope for none, excepting from your army.",Halleck
"June 16, 1863",Halleck,"Just received your telegram. Please inform me whether our forces at Harper’s Ferry are in the town or on the heights, and, if the latter, whether we hold Bolivar, Loudoun, or Maryland Heights, and which, if any ; what bridges at Harper’s Ferry, and where ; from what direction is the enemy making his attack ? I suppose it is a couple of long marches from here for troops without trains, but this, of course, will depend upon the position of the enemy.",Hooker
"June 16, 1863",Halleck,"In compliance with your directions, I shall march to the relief of Harper’s Ferry. I put my column again in motion at 3 a. m. tomorrow. I expect to reach there in two days, and, if possible, earlier. The partial rest of to-day was not lost, being necessary to recruit from forced and heavy marches and fill up supplies.
My headquarters at Farrall [?] Station tomorrow night.",Hooker
"June 16, 1863",Hooker,"Information of enemy’s actual position and force in front of Harper’s Ferry is as indefinite as that in your front. Nearly everything is conjecture. The only position of the enemy mentioned is Hall-town. The bridges across both rivers at Harper’s Ferry are believed to be intact, and most of Tyler’s troops on Maryland Heights. Loudoun Heights are not fortified, but swept by Maryland batteries. Your questions have been sent to Tyler, and his answer will be forwarded as soon as received. Any troops you can send to his relief should be in motion. A few of the enemy have shown themselves at Poolesville and Point of Rocks. No definite information of his movements from any place.",Halleck
"June 16, 1863",Lincoln,"My orders are out to march at 3 o’clock tomorrow morning. It will be likely to be one of vigor and power. I am prepared to move without communications with any place for ten days. I hope to reach my objective point before the arrival of Hill’s corps, should it be moving in that direction. If I do not know this fact, I will shortly, but of information to the north of the Potomac I really have nothing.
I wish that it might be made the duty of some person in the telegraph office in Washington to keep me informed of the enemy’s movements in Marvland.",Hooker
"June 16, 1863",Hooker,"To remove all misunderstanding, I now place you in the strict military relation to General Halleck of a commander of one of the armies to the general-in-chief of all the armies. I have not intended differently, but as it seems to be differently understood, I shall direct him to give you orders and you to obey them.",Lincoln
"June 16, 1863",Hooker,"I have given no directions for our army to move to Harper’s Ferry. I have advised the movement of a force, sufficiently strong to meet Longstreet, on Leesburg, to ascertain where the enemy is, and then move to the relief of Harper’s Ferry, or elsewhere, as circumstances might require. With the remainder of your force in proper position to support this, I want you to push out your cavalry, to ascertain something definite about the enemy. You are in command of the Army of the Potomac, and will make the particular dispositions as you deem proper. I shall only indicate the objects to be aimed at. We have no positive information of any large force against Harper’s Ferry, and it cannot be known whether it will be necessary to go there until you can feel the enemy and ascertain his whereabouts.",Halleck
"June 16, 1863",Stanton,"If General Cadwalader has gone to Pennsylvania, please request him to send me information of the rebel movements to the south of there. Also please have the newspapers announce that I am moving on tq the James River line. I will mask my real movements in these parts.",Hooker
"June 16, 1863",Hooker,"General Cadwalader has not gone to Pennsylvania, but is here waiting for orders. You shall be kept posted upon all information received here as to enemy’s movements, but must exercise your own judgment as to its credibility. The very demon of lying seems to be about these times, and generals will have to be broken for ignorance before they will take the trouble to find out the truth of reports.",Stanton
"June 17, 1863",Hooker,"Mr. Eckert, superintendent of the telegraph office, answers me that he has sent, and will send you, everything that comes to the office.",Lincoln
